Row ID,Order ID,Customer Name,Country,City,State,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
18,CA-2014-167164,Alejandro Grove,United States,West Jordan,Utah,84084,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2014-143336,Zuschuss Donatelli,United States,San Francisco,California,94109,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
20,CA-2014-143336,Zuschuss Donatelli,United States,San Francisco,California,94109,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,CA-2014-143336,Zuschuss Donatelli,United States,San Francisco,California,94109,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,CA-2016-137330,Ken Black,United States,Fremont,Nebraska,68025,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
23,CA-2016-137330,Ken Black,United States,Fremont,Nebraska,68025,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
24,US-2017-156909,Sandra Flanagan,United States,Philadelphia,Pennsylvania,19140,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,CA-2015-106320,Emily Burns,United States,Orem,Utah,84057,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
26,CA-2016-121755,Eric Hoffmann,United States,Los Angeles,California,90049,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
27,CA-2016-121755,Eric Hoffmann,United States,Los Angeles,California,90049,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
28,US-2015-150630,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
29,US-2015-150630,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
30,US-2015-150630,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
